Feature,Importance
speed_normalized,0.34871485808286834
speed_change,0.3328155366141051
acceleration,0.31845963431917035
speed_category_encoded,8.000135579098529e-06
is_speeding,1.8101374916643495e-06
heading,3.180359596150212e-08
longitude,3.039939406779745e-08
latitude,2.9720170685991482e-08
minute,2.9493380795623983e-08
hour,2.3578690701532727e-08
is_night,6.617259072147676e-09
day,4.638162037618847e-09
day_of_week,4.460132069117777e-09
engine_running,0.0
ignition,0.0
month,0.0
state,0.0
is_weekend,0.0
week_of_year,0.0
previous_speed,0.0
is_moving,0.0
